,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
907,incre_modules.2.0.downsample.1,"torch.Size([1, 512, 14, 14])","torch.Size([1, 512, 14, 14])","1,024",0.3828125,"401,408","200,704","405,504","401,408",8.058547973632812e-05
908,incre_modules.2.0.se.avg_pool,"torch.Size([1, 512, 14, 14])","torch.Size([1, 512, 1, 1])",0,0.001953125,0,"115,200",0,0,5.364418029785156e-05
909,incre_modules.2.0.se.fc.0,"torch.Size([1, 512])","torch.Size([1, 32])","16,384",0.0001220703125,"32,736","16,384","67,584",128,3.266334533691406e-05
910,incre_modules.2.0.se.fc.1,"torch.Size([1, 32])","torch.Size([1, 32])",0,0.0001220703125,32,32,128,128,1.0251998901367188e-05
911,incre_modules.2.0.se.fc.2,"torch.Size([1, 32])","torch.Size([1, 512])","16,384",0.001953125,"32,256","16,384","65,664","2,048",2.8848648071289062e-05
912,incre_modules.2.0.se.fc.3,"torch.Size([1, 512])","torch.Size([1, 512])",0,0.001953125,0,0,0,0,1.4066696166992188e-05
913,incre_modules.3.0.conv1,"torch.Size([1, 168, 7, 7])","torch.Size([1, 256, 7, 7])","43,008",0.0478515625,"4,202,240","2,107,392","204,960","50,176",0.0005080699920654297
914,incre_modules.3.0.bn1,"torch.Size([1, 256, 7, 7])","torch.Size([1, 256, 7, 7])",512,0.0478515625,"50,176","25,088","52,224","50,176",4.100799560546875e-05
915,incre_modules.3.0.conv2,"torch.Size([1, 256, 7, 7])","torch.Size([1, 256, 7, 7])","589,824",0.0478515625,"57,790,208","28,901,376","2,409,472","50,176",0.0005886554718017578
916,incre_modules.3.0.bn2,"torch.Size([1, 256, 7, 7])","torch.Size([1, 256, 7, 7])",512,0.0478515625,"50,176","25,088","52,224","50,176",4.458427429199219e-05
917,incre_modules.3.0.conv3,"torch.Size([1, 256, 7, 7])","torch.Size([1, 1024, 7, 7])","262,144",0.19140625,"25,639,936","12,845,056","1,098,752","200,704",0.0006439685821533203
918,incre_modules.3.0.bn3,"torch.Size([1, 1024, 7, 7])","torch.Size([1, 1024, 7, 7])","2,048",0.19140625,"200,704","100,352","208,896","200,704",6.604194641113281e-05
919,incre_modules.3.0.relu,"torch.Size([1, 1024, 7, 7])","torch.Size([1, 1024, 7, 7])",0,0.19140625,"50,176","50,176","200,704","200,704",1.7404556274414062e-05
920,incre_modules.3.0.downsample.0,"torch.Size([1, 168, 7, 7])","torch.Size([1, 1024, 7, 7])","172,032",0.19140625,"16,808,960","8,429,568","721,056","200,704",0.000553131103515625
921,incre_modules.3.0.downsample.1,"torch.Size([1, 1024, 7, 7])","torch.Size([1, 1024, 7, 7])","2,048",0.19140625,"200,704","100,352","208,896","200,704",6.580352783203125e-05
922,incre_modules.3.0.se.avg_pool,"torch.Size([1, 1024, 7, 7])","torch.Size([1, 1024, 1, 1])",0,0.00390625,0,"65,536",0,0,5.364418029785156e-05
923,incre_modules.3.0.se.fc.0,"torch.Size([1, 1024])","torch.Size([1, 64])","65,536",0.000244140625,"131,008","65,536","266,240",256,3.8623809814453125e-05
924,incre_modules.3.0.se.fc.1,"torch.Size([1, 64])","torch.Size([1, 64])",0,0.000244140625,64,64,256,256,1.0967254638671875e-05
925,incre_modules.3.0.se.fc.2,"torch.Size([1, 64])","torch.Size([1, 1024])","65,536",0.00390625,"130,048","65,536","262,400","4,096",2.7894973754882812e-05
926,incre_modules.3.0.se.fc.3,"torch.Size([1, 1024])","torch.Size([1, 1024])",0,0.00390625,0,0,0,0,1.5735626220703125e-05
927,downsample_modules.0.0,"torch.Size([1, 128, 56, 56])","torch.Size([1, 256, 28, 28])","295,168",0.765625,"462,422,016","231,411,712","2,786,304","802,816",0.0010538101196289062
928,downsample_modules.0.1,"torch.Size([1, 256, 28, 28])","torch.Size([1, 256, 28, 28])",512,0.765625,"802,816","401,408","804,864","802,816",0.00011420249938964844
929,downsample_modules.1.0,"torch.Size([1, 256, 28, 28])","torch.Size([1, 512, 14, 14])","1,180,160",0.3828125,"462,422,016","231,311,360","5,523,456","401,408",0.001295328140258789
930,downsample_modules.1.1,"torch.Size([1, 512, 14, 14])","torch.Size([1, 512, 14, 14])","1,024",0.3828125,"401,408","200,704","405,504","401,408",8.177757263183594e-05
931,downsample_modules.2.0,"torch.Size([1, 512, 14, 14])","torch.Size([1, 1024, 7, 7])","4,719,616",0.19140625,"462,422,016","231,261,184","19,279,872","200,704",0.0028400421142578125
932,downsample_modules.2.1,"torch.Size([1, 1024, 7, 7])","torch.Size([1, 1024, 7, 7])","2,048",0.19140625,"200,704","100,352","208,896","200,704",6.818771362304688e-05
933,proj_modules.0,"torch.Size([1, 1024, 7, 7])","torch.Size([1, 2048, 7, 7])","2,099,200",0.3828125,"205,520,896","102,860,800","8,597,504","401,408",0.0013649463653564453
934,proj_modules.1,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])","4,096",0.3828125,"401,408","200,704","417,792","401,408",9.894371032714844e-05
935,proj_modules.2,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])",0,0.3828125,"100,352","100,352","401,408","401,408",3.886222839355469e-05
936,avgpool,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 1, 1])",0,0.0078125,0,"131,072",0,0,8.034706115722656e-05
937,classifier,"torch.Size([1, 2048])","torch.Size([1, 1000])","2,049,000",0.003814697265625,"4,095,000","2,048,000","8,204,192","4,000",0.0002913475036621094
938,Model,"(1, 3, 224, 224)","torch.Size([1, 1000])","30,781,090",121.16596984863281,"8,376,758,480","4,204,088,760","247,370,264","126,962,192",0.10001492500305176
