,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
71,layer3.1.conv1,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 256, 14, 14])","262,144",0.19140625,"102,710,272","51,380,224","1,851,392","200,704",0.0007467269897460938
72,layer3.1.bn1,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",5.841255187988281e-05
73,layer3.1.conv2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])","589,824",0.19140625,"231,160,832","115,605,504","2,560,000","200,704",0.0007190704345703125
74,layer3.1.bn2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",6.008148193359375e-05
75,layer3.1.conv3,"torch.Size([1, 256, 14, 14])","torch.Size([1, 1024, 14, 14])","262,144",0.765625,"102,559,744","51,380,224","1,249,280","802,816",0.0002837181091308594
76,layer3.1.bn3,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])","2,048",0.765625,"802,816","401,408","811,008","802,816",0.0001239776611328125
77,layer3.1.relu,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])",0,0.765625,"200,704","200,704","802,816","802,816",3.1948089599609375e-05
78,layer3.2.conv1,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 256, 14, 14])","262,144",0.19140625,"102,710,272","51,380,224","1,851,392","200,704",0.0004024505615234375
79,layer3.2.bn1,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",5.841255187988281e-05
80,layer3.2.conv2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])","589,824",0.19140625,"231,160,832","115,605,504","2,560,000","200,704",0.0004973411560058594
81,layer3.2.bn2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",5.602836608886719e-05
82,layer3.2.conv3,"torch.Size([1, 256, 14, 14])","torch.Size([1, 1024, 14, 14])","262,144",0.765625,"102,559,744","51,380,224","1,249,280","802,816",0.00028395652770996094
83,layer3.2.bn3,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])","2,048",0.765625,"802,816","401,408","811,008","802,816",0.0001232624053955078
84,layer3.2.relu,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])",0,0.765625,"200,704","200,704","802,816","802,816",2.3365020751953125e-05
85,layer3.3.conv1,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 256, 14, 14])","262,144",0.19140625,"102,710,272","51,380,224","1,851,392","200,704",0.00035119056701660156
86,layer3.3.bn1,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",5.650520324707031e-05
87,layer3.3.conv2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])","589,824",0.19140625,"231,160,832","115,605,504","2,560,000","200,704",0.0004963874816894531
88,layer3.3.bn2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",5.7220458984375e-05
89,layer3.3.conv3,"torch.Size([1, 256, 14, 14])","torch.Size([1, 1024, 14, 14])","262,144",0.765625,"102,559,744","51,380,224","1,249,280","802,816",0.00027632713317871094
90,layer3.3.bn3,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])","2,048",0.765625,"802,816","401,408","811,008","802,816",0.00012350082397460938
91,layer3.3.relu,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])",0,0.765625,"200,704","200,704","802,816","802,816",2.2649765014648438e-05
92,layer3.4.conv1,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 256, 14, 14])","262,144",0.19140625,"102,710,272","51,380,224","1,851,392","200,704",0.0004611015319824219
93,layer3.4.bn1,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",5.7220458984375e-05
94,layer3.4.conv2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])","589,824",0.19140625,"231,160,832","115,605,504","2,560,000","200,704",0.0004837512969970703
95,layer3.4.bn2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",5.841255187988281e-05
96,layer3.4.conv3,"torch.Size([1, 256, 14, 14])","torch.Size([1, 1024, 14, 14])","262,144",0.765625,"102,559,744","51,380,224","1,249,280","802,816",0.0002791881561279297
97,layer3.4.bn3,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])","2,048",0.765625,"802,816","401,408","811,008","802,816",0.00013327598571777344
98,layer3.4.relu,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])",0,0.765625,"200,704","200,704","802,816","802,816",2.3126602172851562e-05
99,layer3.5.conv1,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 256, 14, 14])","262,144",0.19140625,"102,710,272","51,380,224","1,851,392","200,704",0.0003638267517089844
100,layer3.5.bn1,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",5.7697296142578125e-05
101,layer3.5.conv2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])","589,824",0.19140625,"231,160,832","115,605,504","2,560,000","200,704",0.00046563148498535156
102,layer3.5.bn2,"torch.Size([1, 256, 14, 14])","torch.Size([1, 256, 14, 14])",512,0.19140625,"200,704","100,352","202,752","200,704",5.7697296142578125e-05
