,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
169,stage3.0.fuse_upsample_layers.0.norm,"torch.Size([1, 64, 14, 14])","torch.Size([1, 64, 14, 14])",128,0.0478515625,"50,176","25,088","50,688","50,176",3.790855407714844e-05
170,stage3.0.fuse_upsample_layers.1.norm,"torch.Size([1, 32, 28, 28])","torch.Size([1, 32, 28, 28])",64,0.095703125,"100,352","50,176","100,608","100,352",4.267692565917969e-05
171,stage3.0.relu,[],[],0,0.0,0,0,0,0,0.0
172,stage3.1.branches.0.0.conv1,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])","9,216",0.3828125,"57,702,400","28,901,376","438,272","401,408",0.0003466606140136719
173,stage3.1.branches.0.0.bn1,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])",64,0.3828125,"401,408","200,704","401,664","401,408",0.00019073486328125
174,stage3.1.branches.0.0.relu,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])",0,0.3828125,"100,352","100,352","401,408","401,408",3.075599670410156e-05
175,stage3.1.branches.0.0.conv2,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])","9,216",0.3828125,"57,702,400","28,901,376","438,272","401,408",0.00026535987854003906
176,stage3.1.branches.0.0.bn2,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])",64,0.3828125,"401,408","200,704","401,664","401,408",7.414817810058594e-05
177,stage3.1.branches.0.0.se.avg_pool,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 1, 1])",0,0.0001220703125,0,"103,968",0,0,5.53131103515625e-05
178,stage3.1.branches.0.0.se.fc.0,"torch.Size([1, 32])","torch.Size([1, 32])","1,024",0.0001220703125,"2,016","1,024","4,224",128,3.0040740966796875e-05
179,stage3.1.branches.0.0.se.fc.1,"torch.Size([1, 32])","torch.Size([1, 32])",0,0.0001220703125,32,32,128,128,1.1682510375976562e-05
180,stage3.1.branches.0.0.se.fc.2,"torch.Size([1, 32])","torch.Size([1, 32])","1,024",0.0001220703125,"2,016","1,024","4,224",128,2.1457672119140625e-05
181,stage3.1.branches.0.0.se.fc.3,"torch.Size([1, 32])","torch.Size([1, 32])",0,0.0001220703125,0,0,0,0,1.1205673217773438e-05
182,stage3.1.branches.1.0.conv1,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])","18,432",0.19140625,"28,851,200","14,450,688","274,432","200,704",0.00022029876708984375
183,stage3.1.branches.1.0.bn1,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",5.0067901611328125e-05
184,stage3.1.branches.1.0.relu,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",0,0.19140625,"50,176","50,176","200,704","200,704",2.1696090698242188e-05
185,stage3.1.branches.1.0.conv2,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])","18,432",0.19140625,"28,851,200","14,450,688","274,432","200,704",0.00018644332885742188
186,stage3.1.branches.1.0.bn2,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",5.173683166503906e-05
187,stage3.1.branches.1.0.se.avg_pool,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 1, 1])",0,0.000244140625,0,"53,824",0,0,5.14984130859375e-05
188,stage3.1.branches.1.0.se.fc.0,"torch.Size([1, 64])","torch.Size([1, 64])","4,096",0.000244140625,"8,128","4,096","16,640",256,3.0994415283203125e-05
189,stage3.1.branches.1.0.se.fc.1,"torch.Size([1, 64])","torch.Size([1, 64])",0,0.000244140625,64,64,256,256,1.1205673217773438e-05
190,stage3.1.branches.1.0.se.fc.2,"torch.Size([1, 64])","torch.Size([1, 64])","4,096",0.000244140625,"8,128","4,096","16,640",256,2.3126602172851562e-05
191,stage3.1.branches.1.0.se.fc.3,"torch.Size([1, 64])","torch.Size([1, 64])",0,0.000244140625,0,0,0,0,1.1205673217773438e-05
192,stage3.1.branches.1.1.conv1,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])","18,432",0.19140625,"28,851,200","14,450,688","274,432","200,704",0.0002727508544921875
193,stage3.1.branches.1.1.bn1,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",0.00011420249938964844
194,stage3.1.branches.1.1.relu,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",0,0.19140625,"50,176","50,176","200,704","200,704",2.6702880859375e-05
195,stage3.1.branches.1.1.conv2,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])","18,432",0.19140625,"28,851,200","14,450,688","274,432","200,704",0.00020956993103027344
196,stage3.1.branches.1.1.bn2,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",5.316734313964844e-05
197,stage3.1.branches.1.1.se.avg_pool,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 1, 1])",0,0.000244140625,0,"53,824",0,0,5.173683166503906e-05
198,stage3.1.branches.1.1.se.fc.0,"torch.Size([1, 64])","torch.Size([1, 64])","4,096",0.000244140625,"8,128","4,096","16,640",256,3.0994415283203125e-05
199,stage3.1.branches.1.1.se.fc.1,"torch.Size([1, 64])","torch.Size([1, 64])",0,0.000244140625,64,64,256,256,1.1444091796875e-05
200,stage3.1.branches.1.1.se.fc.2,"torch.Size([1, 64])","torch.Size([1, 64])","4,096",0.000244140625,"8,128","4,096","16,640",256,2.3603439331054688e-05
201,stage3.1.branches.1.1.se.fc.3,"torch.Size([1, 64])","torch.Size([1, 64])",0,0.000244140625,0,0,0,0,1.1205673217773438e-05
202,stage3.1.branches.2.0.conv1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.0001862049102783203
203,stage3.1.branches.2.0.bn1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.1961669921875e-05
204,stage3.1.branches.2.0.relu,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",0,0.095703125,"25,088","25,088","100,352","100,352",1.3113021850585938e-05
205,stage3.1.branches.2.0.conv2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.00015163421630859375
206,stage3.1.branches.2.0.bn2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.38690185546875e-05
207,stage3.1.branches.2.0.se.avg_pool,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 1, 1])",0,0.00048828125,0,"28,800",0,0,4.315376281738281e-05
208,stage3.1.branches.2.0.se.fc.0,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,3.7670135498046875e-05
209,stage3.1.branches.2.0.se.fc.1,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,128,128,512,512,1.1444091796875e-05
210,stage3.1.branches.2.0.se.fc.2,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,2.9325485229492188e-05
211,stage3.1.branches.2.0.se.fc.3,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,0,0,0,0,1.1444091796875e-05
212,stage3.1.branches.2.1.conv1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.0001819133758544922
213,stage3.1.branches.2.1.bn1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",3.743171691894531e-05
214,stage3.1.branches.2.1.relu,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",0,0.095703125,"25,088","25,088","100,352","100,352",1.0967254638671875e-05
215,stage3.1.branches.2.1.conv2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.00015616416931152344
216,stage3.1.branches.2.1.bn2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.124641418457031e-05
217,stage3.1.branches.2.1.se.avg_pool,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 1, 1])",0,0.00048828125,0,"28,800",0,0,3.981590270996094e-05
218,stage3.1.branches.2.1.se.fc.0,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,3.409385681152344e-05
219,stage3.1.branches.2.1.se.fc.1,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,128,128,512,512,1.049041748046875e-05
220,stage3.1.branches.2.1.se.fc.2,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,2.765655517578125e-05
221,stage3.1.branches.2.1.se.fc.3,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,0,0,0,0,9.775161743164062e-06
222,stage3.1.branches.2.2.conv1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.000209808349609375
223,stage3.1.branches.2.2.bn1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.506111145019531e-05
224,stage3.1.branches.2.2.relu,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",0,0.095703125,"25,088","25,088","100,352","100,352",1.33514404296875e-05
225,stage3.1.branches.2.2.conv2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.0002148151397705078
226,stage3.1.branches.2.2.bn2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.482269287109375e-05
227,stage3.1.branches.2.2.se.avg_pool,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 1, 1])",0,0.00048828125,0,"28,800",0,0,4.291534423828125e-05
228,stage3.1.branches.2.2.se.fc.0,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,3.743171691894531e-05
229,stage3.1.branches.2.2.se.fc.1,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,128,128,512,512,1.1682510375976562e-05
230,stage3.1.branches.2.2.se.fc.2,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,2.8133392333984375e-05
231,stage3.1.branches.2.2.se.fc.3,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,0,0,0,0,1.1444091796875e-05
232,stage3.1.branches.2.3.conv1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.0002238750457763672
233,stage3.1.branches.2.3.bn1,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.1961669921875e-05
234,stage3.1.branches.2.3.relu,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",0,0.095703125,"25,088","25,088","100,352","100,352",1.5974044799804688e-05
235,stage3.1.branches.2.3.conv2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])","36,864",0.095703125,"14,425,600","7,225,344","247,808","100,352",0.00018024444580078125
236,stage3.1.branches.2.3.bn2,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.506111145019531e-05
237,stage3.1.branches.2.3.se.avg_pool,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 1, 1])",0,0.00048828125,0,"28,800",0,0,4.172325134277344e-05
238,stage3.1.branches.2.3.se.fc.0,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,3.790855407714844e-05
239,stage3.1.branches.2.3.se.fc.1,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,128,128,512,512,1.1444091796875e-05
240,stage3.1.branches.2.3.se.fc.2,"torch.Size([1, 128])","torch.Size([1, 128])","16,384",0.00048828125,"32,640","16,384","66,048",512,2.86102294921875e-05
241,stage3.1.branches.2.3.se.fc.3,"torch.Size([1, 128])","torch.Size([1, 128])",0,0.00048828125,0,0,0,0,1.1205673217773438e-05
242,stage3.1.fuse_downsample_layers.0.norm,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",5.507469177246094e-05
243,stage3.1.fuse_downsample_layers.1.norm,"torch.Size([1, 128, 14, 14])","torch.Size([1, 128, 14, 14])",256,0.095703125,"100,352","50,176","101,376","100,352",4.792213439941406e-05
244,stage3.1.fuse_upsample_layers.0.norm,"torch.Size([1, 64, 14, 14])","torch.Size([1, 64, 14, 14])",128,0.0478515625,"50,176","25,088","50,688","50,176",4.172325134277344e-05
245,stage3.1.fuse_upsample_layers.1.norm,"torch.Size([1, 32, 28, 28])","torch.Size([1, 32, 28, 28])",64,0.095703125,"100,352","50,176","100,608","100,352",4.4345855712890625e-05
246,stage3.1.relu,[],[],0,0.0,0,0,0,0,0.0
247,stage3.2.branches.0.0.conv1,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])","9,216",0.3828125,"57,702,400","28,901,376","438,272","401,408",0.0003478527069091797
248,stage3.2.branches.0.0.bn1,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])",64,0.3828125,"401,408","200,704","401,664","401,408",0.00018453598022460938
249,stage3.2.branches.0.0.relu,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])",0,0.3828125,"100,352","100,352","401,408","401,408",2.9802322387695312e-05
250,stage3.2.branches.0.0.conv2,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])","9,216",0.3828125,"57,702,400","28,901,376","438,272","401,408",0.00030112266540527344
251,stage3.2.branches.0.0.bn2,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 56, 56])",64,0.3828125,"401,408","200,704","401,664","401,408",0.0001819133758544922
252,stage3.2.branches.0.0.se.avg_pool,"torch.Size([1, 32, 56, 56])","torch.Size([1, 32, 1, 1])",0,0.0001220703125,0,"103,968",0,0,5.507469177246094e-05
253,stage3.2.branches.0.0.se.fc.0,"torch.Size([1, 32])","torch.Size([1, 32])","1,024",0.0001220703125,"2,016","1,024","4,224",128,3.0994415283203125e-05
254,stage3.2.branches.0.0.se.fc.1,"torch.Size([1, 32])","torch.Size([1, 32])",0,0.0001220703125,32,32,128,128,1.1682510375976562e-05
255,stage3.2.branches.0.0.se.fc.2,"torch.Size([1, 32])","torch.Size([1, 32])","1,024",0.0001220703125,"2,016","1,024","4,224",128,2.1696090698242188e-05
256,stage3.2.branches.0.0.se.fc.3,"torch.Size([1, 32])","torch.Size([1, 32])",0,0.0001220703125,0,0,0,0,1.1444091796875e-05
257,stage3.2.branches.1.0.conv1,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])","18,432",0.19140625,"28,851,200","14,450,688","274,432","200,704",0.00021719932556152344
258,stage3.2.branches.1.0.bn1,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",5.245208740234375e-05
259,stage3.2.branches.1.0.relu,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",0,0.19140625,"50,176","50,176","200,704","200,704",1.8596649169921875e-05
260,stage3.2.branches.1.0.conv2,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])","18,432",0.19140625,"28,851,200","14,450,688","274,432","200,704",0.00016450881958007812
261,stage3.2.branches.1.0.bn2,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",5.1021575927734375e-05
262,stage3.2.branches.1.0.se.avg_pool,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 1, 1])",0,0.000244140625,0,"53,824",0,0,5.054473876953125e-05
263,stage3.2.branches.1.0.se.fc.0,"torch.Size([1, 64])","torch.Size([1, 64])","4,096",0.000244140625,"8,128","4,096","16,640",256,3.0994415283203125e-05
264,stage3.2.branches.1.0.se.fc.1,"torch.Size([1, 64])","torch.Size([1, 64])",0,0.000244140625,64,64,256,256,1.1205673217773438e-05
265,stage3.2.branches.1.0.se.fc.2,"torch.Size([1, 64])","torch.Size([1, 64])","4,096",0.000244140625,"8,128","4,096","16,640",256,2.3365020751953125e-05
266,stage3.2.branches.1.0.se.fc.3,"torch.Size([1, 64])","torch.Size([1, 64])",0,0.000244140625,0,0,0,0,1.1205673217773438e-05
267,stage3.2.branches.1.1.conv1,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])","18,432",0.19140625,"28,851,200","14,450,688","274,432","200,704",0.0002579689025878906
268,stage3.2.branches.1.1.bn1,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",128,0.19140625,"200,704","100,352","201,216","200,704",5.2928924560546875e-05
269,stage3.2.branches.1.1.relu,"torch.Size([1, 64, 28, 28])","torch.Size([1, 64, 28, 28])",0,0.19140625,"50,176","50,176","200,704","200,704",2.5987625122070312e-05
